name,input,label
диксиленд смэш,ингредиенты: водка гренадин медовый сироп лимонный сок грейпфрутовый сок грейпфрут мята лед лед пожелания: крепкие цитрусовые кислые мятные на водке,"Наполни кубок дробленым льдом доверху. Положи в шейкер мяту 6 листьев. Налей лимонный сок 15 мл, грейпфрутовый сок 30 мл, гренадин 5 мл, медовый сироп 15 мл и водку 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в кубок. Досыпь немного дробленого льда. Укрась долькой грейпфрута и веточкой мяты"
россини,ингредиенты: просекко клубничное пюре лед пожелания: слабоалкогольные сладкие ягодные на игристом твисты,Положи в стакан для смешивания клубничное пюре 6 к. ложек . Налей просекко 120 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный флюте
зомби 2,ингредиенты: ром ром ром абрикосовый ликер сахарный сироп ананасовый сок лаймовый сок мята лед пожелания: крепкие тропические сладкие на роме твисты,"Наполни слинг кубиками льда доверху. Налей в шейкер лаймовый сок 10 мл, ананасовый сок 50 мл, сахарный сироп 10 мл, абрикосовый ликер 20 мл, золотой ром 20 мл и белый ром 25 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в слинг. Долей темный ром 15 мл. Укрась веточкой мяты"
пальма де груша,ингредиенты: водка сироп корицы лаймовый сок яблочный сок мята корица в палочках лед пожелания: слабоалкогольные пряные мятные сладкие на водке,"Наполни хайбол кубиками льда доверху. Положи в шейкер мяту 10 листьев и подави мадлером. Налей лаймовый сок 10 мл, сироп корицы 20 мл, яблочный сок 80 мл и водку 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в хайбол. Укрась палочкой корицы и веточкой мяты"
куба либре,ингредиенты: ром лаймовый сок кола лайм лед пожелания: слабоалкогольные сладкие на роме физзы классика,Наполни хайбол кубиками льда доверху. Налей лаймовый сок 10 мл и золотой ром 50 мл . Долей колу доверху и аккуратно размешай коктейльной ложкой. Укрась кружками лайма
куртизанка,ингредиенты: водка ликер амаретто сахарный сироп лимонный сок белок перепелиного яйца клубника мята тростниковый сахарный песок лед пожелания: крепкие ягодные тропические сладкие на водке,"Сделай на коньячном бокале окаемку из тростникового сахарного песка. Наполни бокал кубиками льда доверху. Положи в шейкер клубнику 6 ягод и подави мадлером. Налей белок перепелиного яйца 25 мл, лимонный сок 15 мл, сахарный сироп 15 мл, ликер амаретто 20 мл и водку 30 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер и ситечко в коньячный бокал. Укрась ягодой клубники и листиком мяты"
античный дайкири,ингредиенты: ром зеленый шартрез драмбуи ванильный сироп лаймовый сок лед пожелания: крепкие травяные кислые цитрусовые пряные,"Налей в шейкер лаймовый сок 30 мл и ванильный сироп 10 мл . Добавь зеленый шартрез 20 мл, драмбуи 20 мл и белый ром 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденное шампанское блюдце"
последнее слово,ингредиенты: джин зеленый шартрез ликер мараскино лаймовый сок лед пожелания: крепкие кислые травяные на джине шорт дринки,"Налей в шейкер лаймовый сок 10 мл, ликер мараскино 20 мл, зеленый шартрез 20 мл и джин 20 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденное шампанское блюдце"
22.13,ингредиенты: джин вишневый ликер херес фино биттер лимонный сок белок перепелиного яйца лед пожелания: крепкие сладкие на джине шорт дринки розовые,"Налей в шейкер белок перепелиного яйца 15 мл, лимонный сок 15 мл, вишневый ликер 15 мл, херес фино 30 мл и джин 30 мл. Добавь пишо биттер 2 дэш. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденное шампанское блюдце"
все зашибись,ингредиенты: мескаль ликер мараскино ликер драй оранж биттер лаймовый сок коктейльная вишня красная лед пожелания: крепкие кислые цитрусовые на мескале шорт дринки,"Налей в шейкер лаймовый сок 25 мл, ликер мараскино 5 мл, ликер драй оранж 25 мл и мескаль 50 мл. Добавь грейпфрутовый биттер 2 дэш. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в охлажденное шампанское блюдце. Укрась коктейльной вишней на шпажке"
кабинет сауэр,ингредиенты: виски стрега черносмородиновый ликер биттер сахарный сироп лимонный сок белок перепелиного яйца лед пожелания: крепкие кислые на виски твисты сауэры,"Налей в шейкер лимонный сок 15 мл, сахарный сироп 10 мл и белок перепелиного яйца 25 мл. Добавь черносмородиновый ликер 10 мл, стрегу 10 мл и ржаной виски 40 мл. Тщательно взбей безо льда. Наполни шейкер кубиками льда и взбей еще раз . Перелей через стрейнер в коктейльный бокал. Укрась ангостурой биттером 2 дэш"
шмель,ингредиенты: карамельный сироп апельсиновый сок кофе эспрессо апельсин лед пожелания: безалкогольные кофейные сладкие цитрусовые на соке,Наполни хайбол кубиками льда доверху. Налей апельсиновый сок 100 мл и карамельный сироп 15 мл. Добавь эспрессо 50 мл и аккуратно размешай коктейльной ложкой. Укрась долькой апельсина
космо пэшн ти,ингредиенты: водка трипл сек сироп маракуйи яблочный сок клюквенный сок апельсин грейпфрут лайм корица в палочках пожелания: слабоалкогольные пряные цитрусовые тропические сладкие,"Положи в питчер четвертинку лайма, дольку грейпфрута и дольку апельсина. Добавь палочку корицы. Налей яблочный сок 100 мл, клюквенный сок 200 мл, сироп маракуйи 15 мл, ликер трипл сек 25 мл и цитрусовую водку 50 мл. Помешивая, нагрей, не доводя до кипения. Перелей в чайник. Подавай на подставке со свечкой, чтобы коктейль не остывал"
морской бриз,ингредиенты: водка клюквенный сок грейпфрутовый сок апельсин клюква лед пожелания: слабоалкогольные кислые цитрусовые на водке лонги,Наполни коллинз кубиками льда доверху. Налей грейпфрутовый сок 50 мл и водку 50 мл. Долей клюквенный сок доверху и аккуратно размешай коктейльной ложкой. Укрась ягодами клюквы и кружком апельсина на коктейльной шпажке
сибирский грог,ингредиенты: ром джин яблочный сироп желтый чай ассам красная смородина гвоздика корица в палочках пожелания: крепкие ягодные сладкие пряные на роме,"Положи в бокал для ирландского кофе красную смородину 5 к. ложек, палочку корицы и гвоздику 1 шт. Налей яблочный сироп желтый 15 мл, терновый джин 20 мл и золотой ром 40 мл. Долей горячий чай ассам доверху и аккуратно размешай коктейльной ложкой"
чешский сбитень,ингредиенты: бехеровка сахарный сироп лимонный сок апельсиновый сок вода апельсин пожелания: слабоалкогольные цитрусовые сладкие пряные на ликере,"Налей в питчер лимонный сок 15 мл, апельсиновый сок 10 мл, сахарный сироп 20 мл и бехеровку 40 мл. Добавь воду без газа 100 мл. Помешивая, нагрей, не доводя до кипения. Перелей в бокал для ирландского кофе . Укрась кружком апельсина на коктейльной шпажке"
мандариновая маргарита,ингредиенты: текила сироп агавы лаймовый сок мандариновое пюре лайм лед пожелания: крепкие цитрусовые сладкие на текиле твисты,"Наполни кубок кубиками льда доверху. Положи в шейкер мандириновое пюре 9 к. ложек. Налей лаймовый сок 10 мл, сироп агавы 15 мл и золотую текилу 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в кубок. Укрась долькой лайма"
май тай,ингредиенты: ром ликер драй оранж сахарный сироп миндальный сироп лаймовый сок лайм мята лед лед пожелания: крепкие кислые цитрусовые на роме тики,"Наполни рокс дробленым льдом доверху. Налей в шейкер лаймовый сок 20 мл, сахарный сироп 10 мл, миндальный сироп 10 мл, ликер драй оранж 20 мл и выдержанный ром 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в рокс. Досыпь немного дробленого льда. Укрась долькой лайма и веточкой мяты"
малиновый милкшейк,ингредиенты: молоко малиновое мороженое малина пожелания: безалкогольные ягодные сливочные сладкие на молоке,Положи в миксер для милкшейков малину 10 ягод и малиновое мороженое 200 г. Налей молоко 80 мл. Взбей без добавления льда и перелей в коктейльную креманку. Укрась ягодами малины
кэнди шот,ингредиенты: лимончелло кофейный ликер сок манго лимонная цедра лед пожелания: слабоалкогольные цитрусовые тропические сладкие на ликере,"Налей в шейкер сок манго 15 мл, кофейный ликер 15 мл и лимончелло 15 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в стопку. Укрась лимонной цедрой"
президент,ингредиенты: ром ром вермут трипл сек гренадин коктейльная вишня красная лед пожелания: крепкие пряные горькие на роме шорт дринки,"Налей в стакан для смешивания гренадин 7,5 мл, ликер трипл сек 15 мл и сухой вермут 30 мл. Добавь выдержанный ром 30 мл и белый ром 30 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась коктейльной вишней"
шампань коктейль,ингредиенты: коньяк просекко биттер тростниковый сахар в кубиках пожелания: крепкие сладкие на игристом на коньяке физзы,Положи кубик тростникового сахара в охлажденный флюте. Добавь ангостуру биттер 1 дэш и коньяк 30 мл. Долей просекко доверху и аккуратно размешай коктейльной ложкой
биттер мелон,ингредиенты: дынный ликер биттер лимонная цедра лед лед пожелания: слабоалкогольные горькие на ликере лонги простые,Наполни хайбол кубиками льда доверху. Налей дынный ликер 50 мл . Долей биттер лемон доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда и укрась лимонной цедрой
обезболивающий батат,ингредиенты: ром ром ром ликер пименто драм апельсиновый сок батат мята мускатный орех молотый кокосовый крем лед пожелания: овощные цитрусовые на роме лонги оранжевые,"Выжми сок из батата 150 г. Наполни харрикейн дробленым льдом доверху. Налей в шейкер апельсиновый сок 20 мл, сок из батата 60 мл, кокосовый крем 45 мл и ликер Пименто драм 10 мл. Добавь кокосовый ром 20 мл, пряный ром 20 мл и выдержанный ром 20 мл. Тщательно взбей безо льда. Перелей через стрейнер и ситечко в харрикейн. Укрась кружком апельсина и веточкой мяты"
русско-японская война,ингредиенты: водка дынный ликер лимонный сок коктейльная вишня красная пожелания: крепкие сладкие на водке шоты разноцветные,"Налей в стопку дынный ликер 20 мл. Аккуратно положи коктейльную вишню и налей лимонный сок 5 мл. Используя коктейльную ложку, уложи слой водки 20 мл"
водка мартини,ингредиенты: водка вермут оливки лед пожелания: крепкие сухие на водке простые миксы,Налей в стакан для смешивания сухой вермут 15 мл и водку 75 мл . Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась тремя оливками на шпажке
через всю страну,ингредиенты: виски амаро сироп маракуйи белок перепелиного яйца апельсин лед пожелания: крепкие травяные тропические сладкие на виски,"Наполни рокс кубиками льда. Налей в шейкер белок перепелиного яйца 20 мл, сироп маракуйи 30 мл, амаро 15 мл и ржаной виски 45 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Выжми дольку апельсина и укрась ею коктейль"
потенциале спешл,ингредиенты: водка яблочный сироп зеленый пряный сироп лимонный сок спрайт лимон апельсин розмарин корень имбиря лед пожелания: слабоалкогольные пряные сладкие на водке физзы,"Положи в хайбол корень имбиря 2 дольки, розмарин 2 веточки и подави мадлером. Наполни хайбол дробленым льдом доверху. Налей лимонный сок 15 мл, яблочный сироп зеленый 10 мл, пряный сироп 10 мл и водку 40 мл. Долей спрайт доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась кружком апельсина, веточкой розмарина и долькой лимона"
темный ром с колой,ингредиенты: ром лаймовый сок кола лайм лед пожелания: слабоалкогольные сладкие на роме простые физзы,Наполни хайбол кубиками льда доверху. Налей лаймовый сок 10 мл и темный ром 50 мл. Долей колу доверху и аккуратно размешай коктейльной ложкой. Укрась 2 кружочками лайма
транссибирский экспресс горячий,ингредиенты: коньяк апельсиновый сок лимонный сок вода апельсин розмарин облепиховый джем корень имбиря пожелания: крепкие цитрусовые ягодные сладкие пряные,"Положи в соковыжималку корень имбиря 6 слайсов и сделай сок. Положи в хайбол облепиховый джем 4 к. ложки. Налей лимонный сок 10 мл, имбирный сок 15 мл, апельсиновый сок 50 мл и коньяк 40 мл. Долей кипяток доверху и аккуратно размешай коктейльной ложкой. Укрась веточкой розмарина и кружком апельсина"
ирландский олд фешен,ингредиенты: виски биттер апельсин тростниковый сахар в кубиках апельсиновая цедра лед пожелания: крепкие цитрусовые на виски он зе рокс твисты,Положи в рокс кубик тростникового сахара и капни ангостуру биттер 1 дэш. Добавь нарезанную четвертинку апельсина и подави мадлером. Дай настояться в течение минуты и выброси апельсин из бокала. Наполни рокс кубиками льда. Налей домашний земляничный виски 50 мл и аккуратно размешай коктейльной ложкой. Укрась апельсиновой цедрой
сливочная мечта,ингредиенты: коньяк гренадин черносмородиновый сироп жирные сливки коктейльная вишня красная лед пожелания: крепкие сливочные сладкие на коньяке десерты,"Налей в шейкер жирные сливки 30 мл, черносмородиновый сироп 20 мл, гренадин 20 мл и коньяк 40 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденное шампанское блюдце. Укрась коктейльной вишней"
лавина,ингредиенты: кофейный ликер южный комфорт какао ликер светлый пожелания: слабоалкогольные шоколадные сладкие на ликере шоты,"Налей в стопку кофейный ликер 20 мл. Используя коктейльную ложку, уложи слоями какао ликер светлый 15 мл и южный комфорт 15 мл"
абсент сауэр,ингредиенты: абсент сахарный сироп лимонный сок лимонная цедра лед лед пожелания: слабоалкогольные кислые травяные цитрусовые на абсенте,"Наполни рокс дробленым льдом доверху. Налей в шейкер лимонный сок 30 мл, сахарный сироп 30 мл и абсент 30 мл . Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в рокс. Досыпь немного дробленого льда. Укрась ложкой для абсента и лимонной цедрой"
кровавый джозеф,ингредиенты: виски лимонный сок томатный сок лимон табаско соус красный уксус соль черный перец молотый лед пожелания: слабоалкогольные соленые кислые пикантные овощные,"Наполни хайбол кубиками льда доверху. Налей лимонный сок 15 мл, томатный сок 125 мл, винный уксус 10 мл и шотландский виски 50 мл. Добавь по щепотке соли и черного перца молотого, 3 капли табаско соуса красного и аккуратно размешай коктейльной ложкой. Укрась кружком лимона"
японский космополитен,ингредиенты: саке трипл сек лимонный сок клюквенный сок лед пожелания: крепкие цитрусовые кислые на саке твисты,"Налей в шейкер лимонный сок 15 мл, клюквенный сок 30 мл, ликер трипл сек 15 мл и саке 60 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в охлажденный коктейльный бокал"
персиковая маргарита с перцем,ингредиенты: текила сироп агавы лаймовый сок персиковое пюре лайм черный перец молотый лед пожелания: крепкие сладкие пикантные фруктовые на текиле,"Наполни кубок кубиками льда доверху. Положи в шейкер персиковое пюре 10 к. ложек. Налей лаймовый сок 10 мл, сироп агавы 15 мл и серебряную текилу 40 мл . Добавь щепотку черного перца молотого. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в кубок. Укрась долькой лайма"
гранд сазерак,ингредиенты: абсент виски ликер драй оранж просекко биттер апельсиновая цедра лед пожелания: крепкие травяные цитрусовые на игристом на виски,Обрызгай коллинз абсентом с внешней и внутренней стороны. Наполни бокал кубиками льда доверху. Налей ликер драй оранж 20 мл и шотландский виски 40 мл . Добавь ангостуру биттер 1 дэш . Долей просекко доверху и аккуратно размешай коктейльной ложкой. Укрась апельсиновой цедрой
чистая страсть,ингредиенты: карамельный сироп сахарный сироп лаймовый сок апельсиновый сок содовая маракуйя лед пожелания: безалкогольные пряные цитрусовые фруктовые тропические,"Наполни слинг кубиками льда доверху. Положи в шейкер мякоть одной маракуйи. Налей лаймовый сок 10 мл, апельсиновый сок 50 мл, карамельный сироп 5 мл и сахарный сироп 15 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер и ситечко в слинг. Долей содовую доверху и аккуратно размешай коктейльной ложкой. Укрась четвертинкой маракуйи"
кокосовое яблоко,ингредиенты: кокосовый ликер яблочный сок яблоко лед пожелания: слабоалкогольные тропические сладкие на ликере миксы,Наполни хайбол кубиками льда доверху. Налей кокосовый ликер 50 мл . Долей яблочный сок доверху и аккуратно размешай коктейльной ложкой. Укрась веером из долек яблока
