name,input,label
чешский сбитень,ингредиенты: бехеровка сахарный сироп лимонный сок апельсиновый сок вода апельсин пожелания: слабоалкогольные цитрусовые сладкие пряные на ликере,"Налей в питчер лимонный сок 15 мл, апельсиновый сок 10 мл, сахарный сироп 20 мл и бехеровку 40 мл. Добавь воду без газа 100 мл. Помешивая, нагрей, не доводя до кипения. Перелей в бокал для ирландского кофе . Укрась кружком апельсина на коктейльной шпажке"
мандариновая маргарита,ингредиенты: текила сироп агавы лаймовый сок мандариновое пюре лайм лед пожелания: крепкие цитрусовые сладкие на текиле твисты,"Наполни кубок кубиками льда доверху. Положи в шейкер мандириновое пюре 9 к. ложек. Налей лаймовый сок 10 мл, сироп агавы 15 мл и золотую текилу 40 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в кубок. Укрась долькой лайма"
май тай,ингредиенты: ром ликер драй оранж de kuype сахарный сироп миндальный сироп лаймовый сок лайм мята лед лед пожелания: крепкие кислые цитрусовые на роме тики,"Наполни рокс дробленым льдом доверху. Налей в шейкер лаймовый сок 20 мл, сахарный сироп 10 мл, миндальный сироп 10 мл, ликер драй оранж 20 мл и выдержанный ром 50 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в рокс. Досыпь немного дробленого льда. Укрась долькой лайма и веточкой мяты"
малиновый милкшейк,ингредиенты: молоко малиновое мороженое малина пожелания: безалкогольные ягодные сливочные сладкие на молоке,Положи в миксер для милкшейков малину 10 ягод и малиновое мороженое 200 г. Налей молоко 80 мл. Взбей без добавления льда и перелей в коктейльную креманку. Укрась ягодами малины
кэнди шот,ингредиенты: лимончелло кофейный ликер fruko schul сок манго лимонная цедра лед пожелания: слабоалкогольные цитрусовые тропические сладкие на ликере,"Налей в шейкер сок манго 15 мл, кофейный ликер 15 мл и лимончелло 15 мл. Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в стопку. Укрась лимонной цедрой"
президент,ингредиенты: ром ром вермут трипл сек fruko schul гренадин коктейльная вишня красная лед пожелания: крепкие пряные горькие на роме шорт дринки,"Налей в стакан для смешивания гренадин 7,5 мл, ликер трипл сек 15 мл и сухой вермут 30 мл. Добавь выдержанный ром 30 мл и белый ром 30 мл. Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась коктейльной вишней"
шампань коктейль,ингредиенты: коньяк просекко биттер тростниковый сахар в кубиках пожелания: крепкие сладкие на игристом на коньяке физзы,Положи кубик тростникового сахара в охлажденный флюте. Добавь ангостуру биттер 1 дэш и коньяк 30 мл. Долей просекко доверху и аккуратно размешай коктейльной ложкой
биттер мелон,ингредиенты: дынный ликер fruko schul биттер лимонная цедра лед лед пожелания: слабоалкогольные горькие на ликере лонги простые,Наполни хайбол кубиками льда доверху. Налей дынный ликер 50 мл . Долей биттер лемон доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда и укрась лимонной цедрой
обезболивающий батат,ингредиенты: ром ром ром ликер пименто драм апельсиновый сок батат мята мускатный орех молотый кокосовый крем лед пожелания: овощные цитрусовые на роме лонги оранжевые,"Выжми сок из батата 150 г. Наполни харрикейн дробленым льдом доверху. Налей в шейкер апельсиновый сок 20 мл, сок из батата 60 мл, кокосовый крем 45 мл и ликер Пименто драм 10 мл. Добавь кокосовый ром 20 мл, пряный ром 20 мл и выдержанный ром 20 мл. Тщательно взбей безо льда. Перелей через стрейнер и ситечко в харрикейн. Укрась кружком апельсина и веточкой мяты"
русско-японская война,ингредиенты: водка дынный ликер fruko schul лимонный сок коктейльная вишня красная пожелания: крепкие сладкие на водке шоты разноцветные,"Налей в стопку дынный ликер 20 мл. Аккуратно положи коктейльную вишню и налей лимонный сок 5 мл. Используя коктейльную ложку, уложи слой водки 20 мл"
водка мартини,ингредиенты: водка вермут оливки лед пожелания: крепкие сухие на водке простые миксы,Налей в стакан для смешивания сухой вермут 15 мл и водку 75 мл . Наполни стакан кубиками льда и аккуратно размешай коктейльной ложкой. Перелей через стрейнер в охлажденный коктейльный бокал. Укрась тремя оливками на шпажке
через всю страну,ингредиенты: виски амаро сироп маракуйи белок перепелиного яйца апельсин лед пожелания: крепкие травяные тропические сладкие на виски,"Наполни рокс кубиками льда. Налей в шейкер белок перепелиного яйца 20 мл, сироп маракуйи 30 мл, амаро 15 мл и ржаной виски 45 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в рокс. Выжми дольку апельсина и укрась ею коктейль"
потенциале спешл,ингредиенты: водка яблочный сироп зеленый пряный сироп лимонный сок спрайт лимон апельсин розмарин корень имбиря лед пожелания: слабоалкогольные пряные сладкие на водке физзы,"Положи в хайбол корень имбиря 2 дольки, розмарин 2 веточки и подави мадлером. Наполни хайбол дробленым льдом доверху. Налей лимонный сок 15 мл, яблочный сироп зеленый 10 мл, пряный сироп 10 мл и водку 40 мл. Долей спрайт доверху и аккуратно размешай коктейльной ложкой. Досыпь немного дробленого льда. Укрась кружком апельсина, веточкой розмарина и долькой лимона"
темный ром с колой,ингредиенты: ром лаймовый сок кола лайм лед пожелания: слабоалкогольные сладкие на роме простые физзы,Наполни хайбол кубиками льда доверху. Налей лаймовый сок 10 мл и темный ром 50 мл. Долей колу доверху и аккуратно размешай коктейльной ложкой. Укрась 2 кружочками лайма
транссибирский экспресс горячий,ингредиенты: коньяк апельсиновый сок лимонный сок вода апельсин розмарин облепиховый джем корень имбиря пожелания: крепкие цитрусовые ягодные сладкие пряные,"Положи в соковыжималку корень имбиря 6 слайсов и сделай сок. Положи в хайбол облепиховый джем 4 к. ложки. Налей лимонный сок 10 мл, имбирный сок 15 мл, апельсиновый сок 50 мл и коньяк 40 мл. Долей кипяток доверху и аккуратно размешай коктейльной ложкой. Укрась веточкой розмарина и кружком апельсина"
ирландский олд фешен,ингредиенты: виски биттер апельсин тростниковый сахар в кубиках апельсиновая цедра лед пожелания: крепкие цитрусовые на виски он зе рокс твисты,Положи в рокс кубик тростникового сахара и капни ангостуру биттер 1 дэш. Добавь нарезанную четвертинку апельсина и подави мадлером. Дай настояться в течение минуты и выброси апельсин из бокала. Наполни рокс кубиками льда. Налей домашний земляничный виски 50 мл и аккуратно размешай коктейльной ложкой. Укрась апельсиновой цедрой
сливочная мечта,ингредиенты: коньяк гренадин черносморо-диновый сироп жирные сливки коктейльная вишня красная лед пожелания: крепкие сливочные сладкие на коньяке десерты,"Налей в шейкер жирные сливки 30 мл, черносмородиновый сироп 20 мл, гренадин 20 мл и коньяк 40 мл. Наполни шейкер кубиками льда и тщательно взбей. Перелей через стрейнер в охлажденное шампанское блюдце. Укрась коктейльной вишней"
лавина,ингредиенты: кофейный ликер fruko schul южный комфорт какао ликер светлый fruko schul пожелания: слабоалкогольные шоколадные сладкие на ликере шоты,"Налей в стопку кофейный ликер 20 мл. Используя коктейльную ложку, уложи слоями какао ликер светлый 15 мл и южный комфорт 15 мл"
абсент сауэр,ингредиенты: абсент сахарный сироп лимонный сок лимонная цедра лед лед пожелания: слабоалкогольные кислые травяные цитрусовые на абсенте,"Наполни рокс дробленым льдом доверху. Налей в шейкер лимонный сок 30 мл, сахарный сироп 30 мл и абсент 30 мл . Наполни шейкер кубиками льда и взбей. Перелей через стрейнер в рокс. Досыпь немного дробленого льда. Укрась ложкой для абсента и лимонной цедрой"
кровавый джозеф,ингредиенты: виски лимонный сок томатный сок лимон табаско соус красный уксус соль черный перец молотый лед пожелания: слабоалкогольные соленые кислые пикантные овощные,"Наполни хайбол кубиками льда доверху. Налей лимонный сок 15 мл, томатный сок 125 мл, винный уксус 10 мл и шотландский виски 50 мл. Добавь по щепотке соли и черного перца молотого, 3 капли табаско соуса красного и аккуратно размешай коктейльной ложкой. Укрась кружком лимона"
